,body,conversation,created_at,entities,id,likes,links,mentioned_users,reshare_message,reshares,source,symbols,user
0,"$TSLA Thanks for sharing. The valuation is ridiculously low. Also It’s hi tech, should have a higher PE than 4. $AAPL $AMZN $NVDA $FB $RACE",,2018-10-02T21:58:22Z,{'sentiment': None},139753589,"{'total': 1, 'user_ids': [1442893]}",,[],"{'reshared_count': 1, 'reshared_deleted': False, 'reshared_user_deleted': False, 'parent_reshared_deleted': False, 'message': {'id': 139752853, 'body': '$TSLA 👇🏼👇🏼👇🏼', 'created_at': '2018-10-02T21:53:50Z', 'user': {'id': 767238, 'username': 'Thankfulness', 'name': 'Thankfulness', 'avatar_url': 'https://avatars.stocktwits.com/production/767238/thumb-1525655689.png', 'avatar_url_ssl': 'https://avatars.stocktwits.com/production/767238/thumb-1525655689.png', 'join_date': '2016-06-06', 'official': False, 'identity': 'User', 'classification': [], 'followers': 998, 'following': 47, 'ideas': 21978, 'watchlist_stocks_count': 143, 'like_count': 20727}, 'source': {'id': 1149, 'title': 'StockTwits for iOS', 'url': 'http://www.stocktwits.com/mobile'}, 'symbols': [{'id': 8660, 'symbol': 'TSLA', 'title': 'Tesla, Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 181077}], 'conversation': {'parent_message_id': 139752853, 'in_reply_to_message_id': None, 'parent': True, 'replies': 1}, 'likes': {'total': 3, 'user_ids': [584870, 994434, 948882]}, 'mentioned_users': [], 'entities': {'chart': {'thumb': 'https://charts.stocktwits.com/production/small_139752853.png', 'large': 'https://charts.stocktwits.com/production/large_139752853.png', 'original': 'https://charts.stocktwits.com/production/original_139752853.png', 'url': 'https://charts.stocktwits.com/production/original_139752853.png'}, 'sentiment': None}}}",,"{'id': 1149, 'title': 'StockTwits for iOS', 'url': 'http://www.stocktwits.com/mobile'}","[{'id': 686, 'symbol': 'AAPL', 'title': 'Apple Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 254547}, {'id': 864, 'symbol': 'AMZN', 'title': 'Amazon.com Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 169434}, {'id': 2925, 'symbol': 'NVDA', 'title': 'NVIDIA Corporation', 'aliases': [], 'is_following': False, 'watchlist_count': 110066}, {'id': 7871, 'symbol': 'FB', 'title': 'Facebook', 'aliases': ['FBOOK'], 'is_following': False, 'watchlist_count': 185076}, {'id': 8660, 'symbol': 'TSLA', 'title': 'Tesla, Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 181077}, {'id': 12840, 'symbol': 'RACE', 'title': 'Ferrari', 'aliases': [], 'is_following': False, 'watchlist_count': 4174}]","{'id': 274615, 'username': 'simpleplan', 'name': 'Brandon', 'avatar_url': 'https://avatars.stocktwits.com/production/274615/thumb-1504804958.png', 'avatar_url_ssl': 'https://avatars.stocktwits.com/production/274615/thumb-1504804958.png', 'join_date': '2013-10-27', 'official': False, 'identity': 'User', 'classification': [], 'followers': 144, 'following': 4, 'ideas': 9379, 'watchlist_stocks_count': 21, 'like_count': 5976}"
1,$PBR $AMD $GE $AAPL $INTC $TSLA $AMZN $MSFT $BAC $FB $INTC $NFLX $VALE $FTV $AMRN $X $SQ $BA $WWE which do u think I have most puts on lol..,,2018-10-02T21:56:43Z,{'sentiment': {'basic': 'Bearish'}},139753294,,,[],,,"{'id': 2269, 'title': 'StockTwits Web', 'url': 'https://stocktwits.com'}","[{'id': 686, 'symbol': 'AAPL', 'title': 'Apple Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 254547}, {'id': 853, 'symbol': 'AMRN', 'title': 'Amarin Corporation plc', 'aliases': [], 'is_following': False, 'watchlist_count': 14112}, {'id': 864, 'symbol': 'AMZN', 'title': 'Amazon.com Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 169431}, {'id': 2310, 'symbol': 'INTC', 'title': 'Intel Corporation', 'aliases': [], 'is_following': False, 'watchlist_count': 48052}, {'id': 2735, 'symbol': 'MSFT', 'title': 'Microsoft Corporation', 'aliases': [], 'is_following': False, 'watchlist_count': 97609}, {'id': 2839, 'symbol': 'NFLX', 'title': 'Netflix, Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 147139}, {'id': 4331, 'symbol': 'AMD', 'title': 'Advanced Micro Devices, Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 143774}, {'id': 4437, 'symbol': 'BA', 'title': 'Boeing Co.', 'aliases': [], 'is_following': False, 'watchlist_count': 25090}, {'id': 4438, 'symbol': 'BAC', 'title': 'Bank of America Corporation', 'aliases': [], 'is_following': False, 'watchlist_count': 65625}, {'id': 5481, 'symbol': 'GE', 'title': 'General Electric Co.', 'aliases': [], 'is_following': False, 'watchlist_count': 60786}, {'id': 6685, 'symbol': 'PBR', 'title': 'Petroleo Brasileiro', 'aliases': [], 'is_following': False, 'watchlist_count': 7756}, {'id': 7612, 'symbol': 'VALE', 'title': 'Vale S.A.', 'aliases': [], 'is_following': False, 'watchlist_count': 6303}, {'id': 7781, 'symbol': 'WWE', 'title': 'World Wrestling Entertainment Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 4734}, {'id': 7789, 'symbol': 'X', 'title': 'United States Steel Corp.', 'aliases': [], 'is_following': False, 'watchlist_count': 19560}, {'id': 7871, 'symbol': 'FB', 'title': 'Facebook', 'aliases': ['FBOOK'], 'is_following': False, 'watchlist_count': 185076}, {'id': 7991, 'symbol': 'SQ', 'title': 'Square', 'aliases': ['SQUARE'], 'is_following': False, 'watchlist_count': 54893}, {'id': 8660, 'symbol': 'TSLA', 'title': 'Tesla, Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 181077}, {'id': 13089, 'symbol': 'FTV', 'title': 'Fortive Corp', 'aliases': [], 'is_following': False, 'watchlist_count': 297}]","{'id': 1618627, 'username': 'INVESTORIA', 'name': 'Silvester Investor', 'avatar_url': 'https://avatars.stocktwits.com/production/1618627/thumb-1538516344.png', 'avatar_url_ssl': 'https://avatars.stocktwits.com/production/1618627/thumb-1538516344.png', 'join_date': '2018-09-20', 'official': False, 'identity': 'User', 'classification': [], 'followers': 10, 'following': 1, 'ideas': 50, 'watchlist_stocks_count': 1, 'like_count': 0}"
2,$PBR $AMD $GE $AAPL $INTC $TSLA $AMZN $MSFT $BAC $FB $INTC $NFLX $VALE $FTV $AMRN $X $SQ $BA $GILD  wow we crushed the quick movers,,2018-10-02T21:55:36Z,{'sentiment': {'basic': 'Bearish'}},139753123,,,[],,,"{'id': 2269, 'title': 'StockTwits Web', 'url': 'https://stocktwits.com'}","[{'id': 686, 'symbol': 'AAPL', 'title': 'Apple Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 254547}, {'id': 853, 'symbol': 'AMRN', 'title': 'Amarin Corporation plc', 'aliases': [], 'is_following': False, 'watchlist_count': 14108}, {'id': 864, 'symbol': 'AMZN', 'title': 'Amazon.com Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 169431}, {'id': 2010, 'symbol': 'GILD', 'title': 'Gilead Sciences Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 35788}, {'id': 2310, 'symbol': 'INTC', 'title': 'Intel Corporation', 'aliases': [], 'is_following': False, 'watchlist_count': 48052}, {'id': 2735, 'symbol': 'MSFT', 'title': 'Microsoft Corporation', 'aliases': [], 'is_following': False, 'watchlist_count': 97609}, {'id': 2839, 'symbol': 'NFLX', 'title': 'Netflix, Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 147139}, {'id': 4331, 'symbol': 'AMD', 'title': 'Advanced Micro Devices, Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 143774}, {'id': 4437, 'symbol': 'BA', 'title': 'Boeing Co.', 'aliases': [], 'is_following': False, 'watchlist_count': 25090}, {'id': 4438, 'symbol': 'BAC', 'title': 'Bank of America Corporation', 'aliases': [], 'is_following': False, 'watchlist_count': 65625}, {'id': 5481, 'symbol': 'GE', 'title': 'General Electric Co.', 'aliases': [], 'is_following': False, 'watchlist_count': 60786}, {'id': 6685, 'symbol': 'PBR', 'title': 'Petroleo Brasileiro', 'aliases': [], 'is_following': False, 'watchlist_count': 7756}, {'id': 7612, 'symbol': 'VALE', 'title': 'Vale S.A.', 'aliases': [], 'is_following': False, 'watchlist_count': 6303}, {'id': 7789, 'symbol': 'X', 'title': 'United States Steel Corp.', 'aliases': [], 'is_following': False, 'watchlist_count': 19560}, {'id': 7871, 'symbol': 'FB', 'title': 'Facebook', 'aliases': ['FBOOK'], 'is_following': False, 'watchlist_count': 185076}, {'id': 7991, 'symbol': 'SQ', 'title': 'Square', 'aliases': ['SQUARE'], 'is_following': False, 'watchlist_count': 54893}, {'id': 8660, 'symbol': 'TSLA', 'title': 'Tesla, Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 181077}, {'id': 13089, 'symbol': 'FTV', 'title': 'Fortive Corp', 'aliases': [], 'is_following': False, 'watchlist_count': 297}]","{'id': 1618627, 'username': 'INVESTORIA', 'name': 'Silvester Investor', 'avatar_url': 'https://avatars.stocktwits.com/production/1618627/thumb-1538516344.png', 'avatar_url_ssl': 'https://avatars.stocktwits.com/production/1618627/thumb-1538516344.png', 'join_date': '2018-09-20', 'official': False, 'identity': 'User', 'classification': [], 'followers': 10, 'following': 1, 'ideas': 47, 'watchlist_stocks_count': 1, 'like_count': 0}"
3,$AAPL I came up with my name long and strong years ago yet Apple continued to just destroy the competition. The most amazing cash machine!!!,,2018-10-02T21:54:53Z,{'sentiment': {'basic': 'Bullish'}},139753005,"{'total': 2, 'user_ids': [198089, 1396147]}",,[],,,"{'id': 1149, 'title': 'StockTwits for iOS', 'url': 'http://www.stocktwits.com/mobile'}","[{'id': 686, 'symbol': 'AAPL', 'title': 'Apple Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 254549}]","{'id': 276526, 'username': 'applelongandstrong', 'name': 'Bert Fegis', 'avatar_url': 'https://avatars.stocktwits.com/production/276526/thumb-1383350872.png', 'avatar_url_ssl': 'https://avatars.stocktwits.com/production/276526/thumb-1383350872.png', 'join_date': '2013-11-01', 'official': False, 'identity': 'User', 'classification': [], 'followers': 63, 'following': 186, 'ideas': 1941, 'watchlist_stocks_count': 41, 'like_count': 22}"
4,$TSLA $AAPL $AMZN They lie about facts on Tesla almost on weekly basis. Serving their advertising masters. They get millions from oil/auto,,2018-10-02T21:54:03Z,{'sentiment': None},139752888,"{'total': 2, 'user_ids': [714252, 102835]}",,[],"{'reshared_count': 2, 'reshared_deleted': False, 'reshared_user_deleted': False, 'parent_reshared_deleted': False, 'message': {'id': 139746618, 'body': '$TSLA remember the fake news paid for by powers that be. They are gifting you a lower price, it’ll go higher by 2019', 'created_at': '2018-10-02T21:18:02Z', 'user': {'id': 723131, 'username': 'mcmuggets', 'name': 'Tesla Long', 'avatar_url': 'https://avatars.stocktwits.com/production/723131/thumb-1530305025.png', 'avatar_url_ssl': 'https://avatars.stocktwits.com/production/723131/thumb-1530305025.png', 'join_date': '2016-04-06', 'official': False, 'identity': 'User', 'classification': [], 'followers': 191, 'following': 98, 'ideas': 19303, 'watchlist_stocks_count': 30, 'like_count': 17003}, 'source': {'id': 1149, 'title': 'StockTwits for iOS', 'url': 'http://www.stocktwits.com/mobile'}, 'symbols': [{'id': 8660, 'symbol': 'TSLA', 'title': 'Tesla, Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 181077}], 'conversation': {'parent_message_id': 139746618, 'in_reply_to_message_id': None, 'parent': True, 'replies': 7}, 'likes': {'total': 8, 'user_ids': [867614, 334317, 584870, 748375, 714252, 274615, 707393, 457209]}, 'mentioned_users': [], 'entities': {'chart': {'thumb': 'https://charts.stocktwits.com/production/small_139746618.png', 'large': 'https://charts.stocktwits.com/production/large_139746618.png', 'original': 'https://charts.stocktwits.com/production/original_139746618.png', 'url': 'https://charts.stocktwits.com/production/original_139746618.png'}, 'sentiment': {'basic': 'Bullish'}}}}",,"{'id': 1149, 'title': 'StockTwits for iOS', 'url': 'http://www.stocktwits.com/mobile'}","[{'id': 686, 'symbol': 'AAPL', 'title': 'Apple Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 254547}, {'id': 864, 'symbol': 'AMZN', 'title': 'Amazon.com Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 169434}, {'id': 8660, 'symbol': 'TSLA', 'title': 'Tesla, Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 181077}]","{'id': 274615, 'username': 'simpleplan', 'name': 'Brandon', 'avatar_url': 'https://avatars.stocktwits.com/production/274615/thumb-1504804958.png', 'avatar_url_ssl': 'https://avatars.stocktwits.com/production/274615/thumb-1504804958.png', 'join_date': '2013-10-27', 'official': False, 'identity': 'User', 'classification': [], 'followers': 144, 'following': 4, 'ideas': 9379, 'watchlist_stocks_count': 21, 'like_count': 5976}"
5,$AAPL,,2018-10-02T21:53:07Z,{'sentiment': {'basic': 'Bullish'}},139752732,,,[],,,"{'id': 2095, 'title': 'StockTwits For Android ', 'url': 'http://www.stocktwits.com/mobile'}","[{'id': 686, 'symbol': 'AAPL', 'title': 'Apple Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 254545}]","{'id': 1506540, 'username': 'noles2017', 'name': 'Eddy Garza', 'avatar_url': 'https://avatars.stocktwits.com/production/1506540/thumb-1532664895.png', 'avatar_url_ssl': 'https://avatars.stocktwits.com/production/1506540/thumb-1532664895.png', 'join_date': '2018-05-28', 'official': False, 'identity': 'User', 'classification': [], 'followers': 4, 'following': 27, 'ideas': 60, 'watchlist_stocks_count': 46, 'like_count': 181}"
6,$AAPL = Gold! If you don&#39;t like Gold then maybe your just stupid!,,2018-10-02T21:50:34Z,{'sentiment': {'basic': 'Bullish'}},139752315,"{'total': 1, 'user_ids': [198089]}",,[],,,"{'id': 2269, 'title': 'StockTwits Web', 'url': 'https://stocktwits.com'}","[{'id': 686, 'symbol': 'AAPL', 'title': 'Apple Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 254549}]","{'id': 1556216, 'username': 'Vinny1990', 'name': 'Vince Morgan', 'avatar_url': 'https://avatars.stocktwits.com/production/1556216/thumb-1532644668.png', 'avatar_url_ssl': 'https://avatars.stocktwits.com/production/1556216/thumb-1532644668.png', 'join_date': '2018-07-25', 'official': False, 'identity': 'User', 'classification': [], 'followers': 12, 'following': 0, 'ideas': 1401, 'watchlist_stocks_count': 2, 'like_count': 306}"
7,$AAPL Here we GOOOO!! 250$$$$$📈📈📈📈✔️💵💵💵📈🤑💰,,2018-10-02T21:49:47Z,"{'chart': {'thumb': 'https://charts.stocktwits.com/production/small_139752201.png', 'large': 'https://charts.stocktwits.com/production/large_139752201.png', 'original': 'https://charts.stocktwits.com/production/original_139752201.png', 'url': 'https://charts.stocktwits.com/production/original_139752201.png'}, 'sentiment': {'basic': 'Bullish'}}",139752201,"{'total': 2, 'user_ids': [749340, 806079]}",,[],,,"{'id': 1149, 'title': 'StockTwits for iOS', 'url': 'http://www.stocktwits.com/mobile'}","[{'id': 686, 'symbol': 'AAPL', 'title': 'Apple Inc.', 'aliases': [], 'is_following': False, 'watchlist_count': 254547}]","{'id': 467880, 'username': 'lrgnike20', 'name': 'Mitchell Fox', 'avatar_url': 'https://avatars.stocktwits.com/production/467880/thumb-1426597191.png', 'avatar_url_ssl': 'https://avatars.stocktwits.com/production/467880/thumb-1426597191.png', 'join_date': '2015-02-18', 'official': False, 'identity': 'User', 'classification': [], 'followers': 12, 'following': 61, 'ideas': 763, 'watchlist_stocks_count': 16, 'like_count': 2751}"
